"","user_genome","Domain","Phylum","Class","Order","Family","Genus","Species","Completeness","Contamination"
"21","bin_m10.mtb58","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","","",90.63,2.01
"22","bin_m10.mtb70","Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Anaeroplasmataceae","UMGS268","",97.33,1.44
"23","bin_m10.mtb71","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","RACS-045","",94.85,0.22
"24","bin_m10.mtb86","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",94.91,2.74
"25","bin_m10.mxb17","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","RACS-045","",94.85,0.22
"26","bin_m10.mxb39","Bacteria","Proteobacteria","Alphaproteobacteria","Rs-D84","Rs-D84","Rs-D84","",87.91,0
"27","bin_m10.mxb49","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","",77.55,4.47
"28","bin_m10.mxb52","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",96.15,0.72
"29","bin_m10.mxb53","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA3263","",91.7,0.75
"30","bin_m10.mxb56_sub","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia marmotae",95.59,1.47
"31","bin_m10.mxb87_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",84.27,1.61
"32","bin_m10.vmb1","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Schaedlerella","",85.96,1.07
"33","bin_m10.vmb10","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",78.85,0.48
"34","bin_m10.vmb106","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Paraprevotella","",94.8,0
"35","bin_m10.vmb116","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UBA1820","UBA1820","",83.67,1.47
"36","bin_m10.vmb122","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",80.57,0.89
"37","bin_m10.vmb141","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Parasutterella","Parasutterella sp009767915",99.38,0.62
"38","bin_m10.vmb15","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","UBA7173 sp002491305",91.13,0.69
"39","bin_m10.vmb163_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","HGM11386","",78.71,0.91
"40","bin_m10.vmb169","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7160","",95.55,0.63
"41","bin_m10.vmb194","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp902362375",98.36,0.38
"42","bin_m10.vmb32","Bacteria","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","UBA1436","",95.51,1.12
"43","bin_m10.vmb68_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","",98.52,0.49
"44","bin_m10.vmb93_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",87.1,0.86
"45","bin_m10.vmb94","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA3263","UBA3263 sp002490725",88.3,4.15
"46","bin_m11.cct146_sub","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","Emergencia","",72.99,3.51
"47","bin_m11.cct159","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","",92.21,4.82
"48","bin_m11.cct57","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter_C","Helicobacter_C japonicus",99.53,0
"49","bin_m11.cct89_sub","Bacteria","Firmicutes_A","Clostridia","Monoglobales_A","UBA1381","CAG-41","",76.52,3.5
"50","bin_m11.cct96","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","",94.61,0.22
"51","bin_m11.mtb101","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","",94.27,2.2
"52","bin_m11.mtb107","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",91.7,0.72
"53","bin_m11.mtb133","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella","",99.52,0
"54","bin_m11.mtb193","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","",93.77,0
"55","bin_m11.mtb203","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","VSOB01","",90.23,2.29
"56","bin_m11.mtb208","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","Paramuribaculum sp001689565",99.06,4.91
"57","bin_m11.mtb241_sub","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UMGS1872","",93.01,2.95
"58","bin_m11.mtb243","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","",92.64,2.14
"59","bin_m11.mtb249","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","","","",94.35,3.29
"60","bin_m11.mtb265","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","","",90.98,2.78
"61","bin_m11.mtb58","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",96.48,0
"62","bin_m11.mtb59","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UMGS1004","",85.89,2.53
"63","bin_m11.mtb76","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","1XD8-76","",92.74,4.41
"64","bin_m11.mxb20","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",94.35,4.49
"65","bin_m11.mxb53","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UMGS1004","",85.28,0.67
"66","bin_m11.mxb6","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","Raoultella planticola",98.91,2.34
"67","bin_m11.vmb104","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","ASTD01","",87.79,4.09
"68","bin_m11.vmb173","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","",92.84,0.34
"69","bin_m11.vmb184","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","",82.58,0.94
"70","bin_m11.vmb199","Bacteria","Firmicutes_A","Clostridia","Monoglobales","Monoglobaceae","","",90.53,1.34
"71","bin_m11.vmb25","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",80.21,0.03
"72","bin_m11.vmb32","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",94.76,0.05
"73","bin_m11.vmb45","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","ASTD01","",86.35,1.17
"74","bin_m11.vmb74","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UMGS1370","",90.3,0
"75","bin_m11.vmb84","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Duncaniella sp001689575",91.51,2.14
"76","bin_m12.cct139","Bacteria","Proteobacteria","Alphaproteobacteria","Rs-D84","Rs-D84","Rs-D84","",86.81,0
"77","bin_m12.cct83_sub","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-557","",79.6,1.79
"78","bin_m12.mtb121","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","Paramuribaculum sp001689535",79.43,0.38
"79","bin_m12.mtb122","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","",99.22,1.16
"80","bin_m12.mtb124","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",92.14,1.26
"81","bin_m12.mtb152","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA3263","",98.3,0.88
"82","bin_m12.mtb29","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111","",88.89,0.85
"83","bin_m12.mtb81","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus sp014145615",97.28,2.35
"84","bin_m12.vmb111","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-495","",91.5,2.21
"85","bin_m12.vmb143","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","14-2","",93.36,1.49
"86","bin_m12.vmb162","Bacteria","Firmicutes","Bacilli","ML615J-28","CAG-313","CAG-313","",94.97,3.49
"87","bin_m12.vmb38","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",94.67,4.15
"88","bin_m12.vmb59","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-267","",94.51,0
"89","bin_m13.cct136_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",96.77,0.4
"90","bin_m13.mtb110","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","",93.34,4.74
"91","bin_m13.mtb113_sub","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","","",77.34,1.36
"92","bin_m13.mtb118_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",94.07,4.02
"93","bin_m13.mtb145","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",94.46,4.89
"94","bin_m13.mtb182","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","",97.92,2.83
"95","bin_m13.mtb194","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus intestinalis",98.89,0.22
"96","bin_m13.mtb55","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",89.74,1.44
"97","bin_m13.mtb75","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-495","",97.85,0
"98","bin_m13.mtb94","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",97.82,1.52
"99","bin_m13.mtb95","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","1XD8-76","",94.91,3.18
"100","bin_m13.mtb98","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","","","",77.36,0.68
"101","bin_m13.mxb31","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmoidaceae","","",100,0.38
"102","bin_m13.mxb55_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",93.55,0.03
"103","bin_m13.mxb57","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Parasutterella","",98.75,0.62
"104","bin_m13.mxb60_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","TF01-11","",96.62,0.68
"105","bin_m13.mxb7","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",90.32,1.61
"106","bin_m13.vmb103","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","",95.28,1.32
"107","bin_m13.vmb111","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","WRBF01","","",74.98,0
"108","bin_m13.vmb114","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA9502","UBA9502 sp003611875",93.04,0.32
"109","bin_m13.vmb131","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",90.32,0.03
"110","bin_m13.vmb150","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","MD308","",87.28,2.92
"111","bin_m13.vmb30","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Rodentibacter","Rodentibacter sp001999425",98.3,0.91
"112","bin_m13.vmb72","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",95.56,1.01
"113","bin_m13.vmb79","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium","Erysipelatoclostridium ramosum",100,0
"114","bin_m13.vmb90","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","",92.35,0.57
"115","bin_m14.cct152","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UMGS1071","",93.96,0.02
"116","bin_m14.cct71","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","RACS-045","",94.18,0.22
"117","bin_m14.mtb117_sub","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA9475","",85.76,3.43
"118","bin_m14.mtb121","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Kineothrix","",96.26,1.72
"119","bin_m14.mtb131","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Dysosmobacter","",95.97,0
"120","bin_m14.mtb152_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",97.15,1.21
"121","bin_m14.mtb172","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","",89.43,0
"122","bin_m14.mtb203","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-1031","",87.11,0.19
"123","bin_m14.mtb42","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",94.52,4.74
"124","bin_m14.mxb149","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","",96.45,2.96
"125","bin_m14.vmb100","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","",88.74,1.27
"126","bin_m14.vmb113","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","",99.25,0.09
"127","bin_m14.vmb125","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA9475","",94.16,4.13
"128","bin_m14.vmb146","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UMGS1815","",89.11,1.34
"129","bin_m14.vmb151","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_F","",94.97,0.92
"130","bin_m14.vmb15_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","UBA7173","",74.52,0.64
"131","bin_m14.vmb161","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",92.64,2.2
"132","bin_m14.vmb180","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","","",95.08,0.7
"133","bin_m14.vmb42","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UMGS1004","",90.32,0.03
"134","bin_m14.vmb46","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",82.45,0.96
"135","bin_m14.vmb57_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","",83.65,1.7
"136","bin_m14.vmb84","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Dubosiella","Dubosiella sp000403415",93.87,2.7
"137","bin_m15.cct109_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",87.5,2.06
"138","bin_m15.cct143","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UMGS1370","",78.02,3.94
"139","bin_m15.cct169","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","","",90.27,0.04
"140","bin_m15.cct181","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","14-2","",95.98,1.34
"141","bin_m15.mtb130_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","",96.69,4.32
"142","bin_m15.mtb150_sub","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella","Duncaniella dubosii",98.68,4.34
"143","bin_m15.mtb67","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","MD308","",95.91,0.31
"144","bin_m15.mtb72","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","COE1","COE1 sp002358575",91.84,3.64
"145","bin_m15.mtb98","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter_D","",94.41,0.14
"146","bin_m15.mxb29","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","UBA9783","UBA1183","",78.21,0.68
"147","bin_m15.mxb64_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","",91.29,3.21
"148","bin_m15.mxb73_sub","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","UBA2866","",84.17,0
"149","bin_m15.vmb109","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",90.94,1.42
"150","bin_m15.vmb121","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","",74.92,0.79
"151","bin_m15.vmb122","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",95.43,1.65
"152","bin_m15.vmb155","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","",85.99,1.69
"153","bin_m15.vmb17","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","",94.3,2.06
"154","bin_m15.vmb172","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","",91.57,1.15
"155","bin_m16.mtb139","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",93.25,2.01
"156","bin_m16.mtb186","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","",99.46,0.54
"157","bin_m16.mtb222","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",88.31,0.03
"158","bin_m16.mtb225","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",93.95,0.03
"159","bin_m16.mtb29","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RC9","",87.86,0
"160","bin_m16.mtb39","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter_D","",100,0.12
"161","bin_m16.mtb79","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",95.58,4.83
"162","bin_m16.mxb25","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","","",95.16,0
"163","bin_m16.mxb27_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","","",92.06,3.69
"164","bin_m16.mxb47_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","14-2","",95.22,2.49
"165","bin_m16.mxb5","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",94.43,4
"166","bin_m16.vmb118","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","",88.81,1.14
"167","bin_m16.vmb148","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","",97.55,0.5
"168","bin_m16.vmb70_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",81.45,0.46
"169","bin_m16.vmb88","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UMGS1004","",95.56,0.05
"170","bin_m16.vmb9","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","Paramuribaculum sp001689565",99.06,0.88
"171","bin_m17.cct113","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","C-19","",100,0.94
"172","bin_m17.cct133","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","CAG-115","",92.9,1.23
"173","bin_m17.cct135_sub","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","","","",87.91,1.1
"174","bin_m17.cct95","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","RUG14156","RUG14156","",92.74,0.57
"175","bin_m17.cct99","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",91.38,3.02
"176","bin_m17.mtb117","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","",95.82,4.21
"177","bin_m17.mtb142","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","RUG115","",97.58,2.51
"178","bin_m17.mtb168","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter","",99.73,0.54
"179","bin_m17.mtb206","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",92.74,0.43
"180","bin_m17.mtb85","Bacteria","Firmicutes","Bacilli","RF39","UBA660","","",82.99,0
"181","bin_m17.mxb54","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","TF01-11","",97.97,2.03
"182","bin_m17.vmb109","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Metamycoplasmataceae","UBA710","",98.87,0.75
"183","bin_m17.vmb122","Bacteria","Firmicutes","Bacilli","RF39","UBA660","UBA11963","",90.45,2.81
"184","bin_m17.vmb141","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","",97.8,3.21
"185","bin_m17.vmb17","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",83,4.26
"186","bin_m17.vmb18","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",92.24,2.76
"187","bin_m17.vmb56","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","","",93.55,0.95
"188","bin_m17.vmb58","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3282","",77.52,3.45
"189","bin_m17.vmb79","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",89.46,4.67
"190","bin_m17.vmb99","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum","Muribaculum sp001701195",94.15,0.13
"191","bin_m18.cct36","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","","",96.7,1.49
"192","bin_m18.cct47","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","",97.42,0.5
"193","bin_m18.cct80","Bacteria","Proteobacteria","Alphaproteobacteria","Rs-D84","Rs-D84","Rs-D84","",80.94,2.3
"194","bin_m18.cct89_sub","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","1XD42-69","",92.29,0.72
"195","bin_m18.mtb115","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","","",80.92,1.14
"196","bin_m18.mtb136","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella","",98.88,0.96
"197","bin_m18.mtb158","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","",97.92,1.26
"198","bin_m18.mtb175","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","COE1","",89.99,2.98
"199","bin_m18.mtb188","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter","",100,0.27
"200","bin_m18.mtb41","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UBA7001","",83.72,0.94
"201","bin_m18.vmb13","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","","",97.18,0.03
"202","bin_m18.vmb14","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","RACS-045","",94.63,0.17
